Entity,Code,Year,Fertility rate
Afghanistan,AFG,2022,4.932
Albania,ALB,2022,1.355
Algeria,DZA,2022,2.817
Andorra,AND,2022,1.071
Angola,AGO,2022,5.209
Antigua and Barbuda,ATG,2022,1.58
Argentina,ARG,2022,1.482
Armenia,ARM,2022,1.719
Australia,AUS,2022,1.638
Austria,AUT,2022,1.41
Azerbaijan,AZE,2022,1.687
Bahamas,BHS,2022,1.379
Bahrain,BHR,2022,1.839
Bangladesh,BGD,2022,2.179
Barbados,BRB,2022,1.712
Belarus,BLR,2022,1.326
Belgium,BEL,2022,1.547
Belize,BLZ,2022,1.949
Benin,BEN,2022,4.634
Bhutan,BTN,2022,1.478
Bolivia,BOL,2022,2.584
Bosnia and Herzegovina,BIH,2022,1.481
Botswana,BWA,2022,2.785
Brazil,BRA,2022,1.629
Brunei,BRN,2022,1.764
Bulgaria,BGR,2022,1.767
Burkina Faso,BFA,2022,4.275
Burundi,BDI,2022,4.98
Cambodia,KHM,2022,2.616
Cameroon,CMR,2022,4.397
Canada,CAN,2022,1.366
Cape Verde,CPV,2022,1.533
Central African Republic,CAF,2022,6.023
Chad,TCD,2022,6.215
Chile,CHL,2022,1.255
China,CHN,2022,1.034
Colombia,COL,2022,1.663
Comoros,COM,2022,3.935
Congo,COG,2022,4.215
Costa Rica,CRI,2022,1.335
Cote d'Ivoire,CIV,2022,4.349
Croatia,HRV,2022,1.53
Cuba,CUB,2022,1.412
Cyprus,CYP,2022,1.393
Czechia,CZE,2022,1.618
Democratic Republic of Congo,COD,2022,6.106
Denmark,DNK,2022,1.559
Djibouti,DJI,2022,2.653
Dominica,DMA,2022,1.482
Dominican Republic,DOM,2022,2.267
East Timor,TLS,2022,2.801
Ecuador,ECU,2022,1.861
Egypt,EGY,2022,2.75
El Salvador,SLV,2022,1.785
Equatorial Guinea,GNQ,2022,4.17
Eritrea,ERI,2022,3.786
Estonia,EST,2022,1.41
Eswatini,SWZ,2022,2.801
Ethiopia,ETH,2022,4.082
Fiji,FJI,2022,2.305
Finland,FIN,2022,1.318
France,FRA,2022,1.76
French Guiana,GUF,2022,3.436
Gabon,GAB,2022,3.712
Gambia,GMB,2022,4.078
Georgia,GEO,2022,1.82
Germany,DEU,2022,1.46
Ghana,GHA,2022,3.434
Greece,GRC,2022,1.308
Greenland,GRL,2022,1.969
Grenada,GRD,2022,1.502
Guatemala,GTM,2022,2.343
Guinea,GIN,2022,4.303
Guinea-Bissau,GNB,2022,3.911
Guyana,GUY,2022,2.437
Haiti,HTI,2022,2.699
Honduras,HND,2022,2.522
Hungary,HUN,2022,1.55
Iceland,ISL,2022,1.589
India,IND,2022,1.994
Indonesia,IDN,2022,2.149
Iran,IRN,2022,1.704
Iraq,IRQ,2022,3.294
Ireland,IRL,2022,1.594
Israel,ISR,2022,2.936
Italy,ITA,2022,1.24
Jamaica,JAM,2022,1.372
Japan,JPN,2022,1.256
Jordan,JOR,2022,2.679
Kazakhstan,KAZ,2022,3.05
